,North,South,Mid-West,West
202111,174323.76994,565356.024,147517.12842,151769.05791
202110,177561.45961,611720.5619999999,149773.56218,160934.01820000002
202109,185364.41973,648364.743,133858.06093,189604.64549
202108,240586.76555,788866.111,188864.17765000003,225043.37336
202107,227347.79550999997,775262.436,175866.78779000003,241013.9647
202106,207387.49476999996,699217.9130000001,156797.56081000002,189071.24163
202105,152846.84683,560499.6529999999,113556.90779000001,140423.35484
202104,129145.05053000001,513494.323,114745.84208,142513.70117000001
202103,147873.65916,488690.768,118128.67094000001,145312.48838000002
202102,162729.85915,515669.32999999996,136486.58613,131666.25674000004
202101,175385.05329999997,575190.524,144248.34566999998,158240.01792999997
202012,167148.37767,569483.1240000001,149063.28118000002,178359.55706
202011,143602.55617,511987.57499999995,113261.78692,157314.05407
202010,165986.10345999998,608518.0,134590.03174,196726.56687
202009,186499.11371,646799.936,129012.75084,210433.72130000003
202008,239329.49531000003,805484.59,172120.00799999997,240681.0613799999
202007,269401.57801999996,852312.9809999999,202940.63700000005,203955.58938999998
202006,189595.19823,706010.8230000001,157781.559,146539.35938999997
202005,123864.66163,608088.363,126869.82682999999,121527.16066
202004,122319.29374000001,531331.08586,142922.55193,135466.41128000003
202003,145734.11109000002,589188.86676,167668.98748999997,158244.33951000002
202002,155956.03092000002,590877.15576,172501.42815,147708.13695
202001,172739.89020999998,611087.4920000001,192273.52418,165002.44017999998
201912,165605.86127999998,579856.3888600001,151014.14176,188910.42227999997
201911,144416.91270000002,544090.3994799999,130185.73128999998,169269.39383
201910,156516.88212999998,628253.92076,137509.14215,175920.78396
201909,168583.77835,747041.06376,142691.93631,194668.23215
201908,216462.84553999998,842586.0568599999,173515.73127,229168.21489
201907,239776.75603000002,810708.81148,181507.35903,209048.7766
201906,162102.89096999998,706056.7967300001,140686.32231000002,147461.29139
201905,132755.63371,633489.09527,121987.94196,108731.21653
201904,122280.25849000002,518949.52238000004,125565.47925,120175.68795
201903,143332.63820000002,554644.03348,136957.41220999998,145477.69506
201902,141105.83581,518797.73748,133674.57778999998,148962.72619
201901,154931.24897000002,578001.4304799999,139654.43488,164660.48212
