IL,IN,IA,KS,MI,MN,ND,OH,SD,WI
5.87,5.05,5.72,5.8,7.02,5.54,5.03,6.28,5.85,5.9
6.17,5.08,5.8,5.93,6.91,5.83,5.28,6.36,6.1,5.98
6.47,5.23,5.82,6.12,6.98,5.69,5.22,6.29,6.11,5.93
6.61,5.14,6.02,6.02,6.73,5.7,5.34,6.47,6.23,6.02
6.88,5.27,6.33,6.22,6.81,5.96,5.58,6.9,6.49,5.98
7.39,5.45,6.61,6.46,7.09,6.43,5.89,6.9,6.79,6.25
7.72,5.45,6.83,6.82,7.22,6.84,5.99,6.97,6.84,6.28
7.78,5.38,6.85,6.8,7.29,6.88,6.02,6.97,6.82,6.28
7.43,5.29,6.39,6.47,6.88,5.81,5.92,6.75,6.54,6.11
6.92,5.47,5.84,6.15,6.82,5.44,5.56,6.62,6.26,5.96
6.88,5.36,5.52,5.6,6.85,5.52,5.21,6.44,6.13,6.01
6.4,5.39,5.65,5.82,6.91,5.68,4.98,6.4,6.01,6.15
6.25,5.29,5.63,5.89,7.23,5.51,4.99,6.41,5.9,6.17
6.45,5.33,5.68,5.87,6.88,5.66,5.14,6.53,6.1,6.22
6.54,5.4,5.62,5.96,6.98,5.44,5.22,6.65,6.0,6.11
6.61,5.36,5.73,6.04,6.78,5.54,5.43,6.65,6.09,6.19
6.83,5.38,5.77,6.26,7.13,5.6,5.74,6.84,6.18,6.2
7.46,5.43,6.4,6.44,7.23,6.41,5.91,7.05,6.52,6.48
7.68,5.56,6.76,7.03,7.37,6.44,5.88,7.17,6.69,6.41
7.63,5.5,6.63,6.78,7.19,6.32,5.75,7.12,6.64,6.34
7.39,5.4,6.42,6.64,7.36,5.83,5.68,6.84,6.49,6.27
7.03,5.31,5.76,6.28,6.9,5.46,5.43,6.76,6.27,6.11
6.4,5.01,5.66,5.88,6.7,5.52,5.21,6.53,6.12,6.28
6.43,5.1,5.65,5.94,7.14,5.55,5.22,6.48,6.03,6.51
6.38,5.26,5.6,5.93,6.85,5.53,5.13,6.4,5.98,6.38
6.5,5.32,5.71,6.07,7.0,5.75,5.19,6.49,6.11,6.4
6.62,5.31,5.9,6.21,6.93,5.82,5.32,6.54,6.19,6.38
6.71,5.38,5.94,6.24,6.52,5.75,5.5,6.5,6.33,6.65
6.79,5.25,6.02,6.17,6.67,5.88,5.61,6.89,6.33,6.58
7.1,5.4,6.58,6.69,7.06,6.58,5.86,6.8,6.7,6.82
7.61,5.42,6.81,6.96,7.01,6.66,5.89,7.31,6.68,6.96
7.46,5.56,6.78,6.96,7.18,6.75,5.93,7.04,6.74,6.92
7.13,5.36,6.38,6.69,6.74,6.15,5.87,6.9,6.63,6.8
6.92,5.45,5.85,5.99,6.87,5.7,5.62,6.7,6.34,6.53
6.47,5.42,5.75,5.88,6.52,5.52,5.1,6.58,6.17,6.63
6.41,5.27,5.75,5.77,6.78,5.78,4.88,6.59,6.01,6.6
6.37,5.25,6.07,5.9,6.84,5.92,5.23,6.64,6.02,6.76
6.34,5.3,5.98,5.86,6.82,5.79,5.23,6.55,6.09,6.68
6.58,5.47,5.94,5.96,6.74,5.92,5.45,6.86,6.22,6.53
6.63,5.49,5.99,6.16,6.82,5.86,5.51,6.88,6.35,6.75
6.65,5.53,6.02,6.4,6.62,6.11,5.68,6.87,6.44,6.8
