CT,ME,MA,MO,NE,NH,NJ,NY,PA,RI,VT
9.76,11.15,10.9,5.26,4.77,11.77,9.05,11.53,7.68,11.27,10.95
9.06,11.05,10.93,5.35,4.95,11.31,8.77,11.17,7.46,11.34,11.12
9.38,10.78,11.15,5.47,5.08,11.53,8.97,11.01,7.75,11.71,10.84
9.61,9.41,11.52,5.43,4.97,11.75,9.18,10.7,7.87,12.69,10.42
9.57,9.21,11.45,6.22,5.21,10.39,9.22,10.97,8.0,11.72,10.56
9.56,9.9,12.11,7.07,5.92,10.66,9.82,11.46,8.5,12.02,10.79
9.78,11.17,13.35,7.28,6.1,11.08,9.95,13.26,8.39,12.01,11.03
9.89,11.16,10.23,7.08,6.02,10.6,9.89,12.69,8.45,11.49,10.89
9.7,11.37,13.03,6.13,5.88,10.04,9.75,12.02,8.19,11.41,10.76
9.75,10.63,12.05,5.58,5.27,11.0,9.11,11.83,7.95,10.65,11.03
9.6,9.83,11.06,5.36,5.04,10.37,9.12,10.61,7.87,10.62,10.89
9.66,11.0,10.97,5.42,5.04,10.75,9.13,10.87,7.96,10.52,10.99
9.64,9.78,10.51,5.42,4.92,10.59,9.12,10.67,7.84,9.5,11.15
9.56,10.08,9.8,5.46,5.11,10.1,9.14,10.33,8.0,9.26,10.68
9.55,10.95,9.78,5.51,5.36,10.44,9.08,10.53,7.93,8.39,10.83
9.77,10.16,10.01,5.55,5.17,10.84,9.22,10.45,7.95,9.44,10.81
9.82,9.72,9.48,6.39,5.4,10.63,9.36,10.69,7.97,8.92,10.57
9.68,10.4,10.07,7.27,6.0,10.47,9.71,11.52,8.29,9.45,10.85
10.14,10.48,10.59,7.15,6.26,10.89,9.86,12.29,8.42,8.79,10.97
9.64,10.02,10.18,7.07,6.13,10.24,9.76,12.16,8.32,9.43,10.82
9.64,10.63,10.43,6.17,5.84,10.35,9.38,11.77,8.29,9.21,10.9
9.77,10.49,10.04,5.39,5.34,11.2,8.8,11.49,7.98,9.28,10.91
9.68,10.78,9.69,5.46,5.28,10.46,8.84,10.54,7.8,9.47,10.85
9.61,10.79,9.94,5.32,5.15,10.9,8.92,10.84,7.88,9.34,11.04
9.45,9.0,9.21,5.22,4.94,10.38,8.66,11.05,7.82,8.93,10.87
9.57,9.08,9.68,5.37,5.17,10.74,8.75,11.53,7.78,9.85,10.89
9.63,10.58,9.95,5.43,5.41,10.89,8.85,12.15,7.91,9.48,10.86
9.91,9.82,9.65,5.6,5.19,10.76,8.93,12.51,7.81,9.11,10.94
10.34,10.21,10.17,6.53,5.47,10.83,8.98,12.34,7.92,10.22,10.87
10.37,9.71,11.15,6.97,6.08,10.98,9.39,12.81,8.15,10.14,11.03
10.42,9.68,11.18,7.12,6.37,10.91,9.53,13.48,8.37,11.63,11.12
10.52,9.76,11.58,7.1,6.38,10.87,11.46,13.42,8.3,11.59,11.07
10.69,9.35,11.99,5.95,6.38,10.95,10.54,13.3,8.33,11.1,11.0
