AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,Date (YYYY/MM)
10.51,10.14,8.76,18.96,11.01,18.44,11.18,11.32,10.7,8.18,10.89,10.98,8.22,10.34,9.8,9.17,15.12,12.02,19.23,12.91,11.26,9.95,9.37,9.5,8.39,8.49,17.94,13.82,9.69,15.88,9.02,8.55,10.18,8.51,9.24,10.52,18.41,10.99,10.05,10.12,8.97,7.94,16.9,9.25,8.92,9.29,11.01,7.88,202111
10.53,10.57,9.09,19.99,11.05,18.83,10.86,10.92,10.95,8.2,10.64,10.65,8.47,10.23,9.4,9.36,14.78,12.09,19.15,12.96,11.35,9.65,9.28,9.72,8.64,8.49,17.64,13.76,9.59,16.96,9.63,8.46,10.04,9.41,9.24,10.13,18.37,10.3,10.29,9.88,9.02,8.33,17.0,9.46,8.97,9.13,11.04,8.19,202110
10.75,11.18,9.49,21.57,11.5,19.62,11.12,11.13,10.96,8.13,10.22,10.63,10.4,10.46,9.36,9.41,14.54,11.54,19.92,12.8,11.68,9.81,11.24,9.91,9.27,9.27,17.78,14.18,10.51,18.06,9.87,8.94,10.04,9.5,9.1,10.14,18.77,10.65,10.75,10.09,9.22,8.89,16.53,9.57,8.82,9.06,11.33,8.28,202109
10.96,11.22,9.47,21.35,11.64,17.36,10.43,10.72,11.42,8.57,10.29,10.57,10.95,10.84,9.34,9.28,14.02,11.35,19.43,13.51,11.69,9.81,11.54,9.96,9.19,9.3,17.07,14.8,10.74,17.88,9.64,8.77,10.07,9.25,9.13,10.22,17.61,10.54,10.76,10.09,9.16,8.85,16.21,9.72,8.75,8.83,11.32,7.99,202108
10.87,11.48,9.35,20.93,11.61,19.43,10.23,10.64,11.4,8.31,10.01,10.56,10.98,10.83,9.36,8.88,13.44,11.3,19.68,13.35,11.77,9.71,11.5,10.08,9.46,9.41,17.2,15.04,10.71,17.6,9.68,8.99,10.05,9.11,9.16,10.08,17.54,10.14,10.83,10.11,8.82,9.07,16.23,9.59,8.88,8.85,11.41,8.22,202107
10.68,11.25,8.81,20.26,11.38,18.16,10.3,10.7,11.05,8.38,10.09,10.42,10.47,10.85,8.94,9.08,13.31,11.3,18.77,13.27,12.18,9.79,11.48,9.52,9.23,9.01,17.1,14.7,10.3,16.73,9.37,8.84,10.0,7.3,9.08,10.04,17.15,10.16,10.89,10.03,8.68,8.96,16.47,9.26,8.64,8.77,11.46,8.63,202106
10.28,11.17,8.22,18.71,10.41,18.08,10.6,10.58,10.44,7.83,10.16,10.08,8.65,10.52,8.8,9.0,13.22,11.09,18.31,12.88,10.89,9.55,9.3,9.27,8.62,7.81,17.04,13.95,9.33,15.71,9.19,8.5,9.46,7.7,8.95,9.48,17.18,9.62,10.74,9.58,8.42,7.98,16.2,8.82,8.56,8.8,10.82,8.37,202105
10.27,10.28,8.1,19.15,10.28,19.25,10.44,10.42,9.87,7.79,10.01,9.91,8.02,10.44,8.88,8.32,13.38,11.12,18.51,12.6,10.8,9.48,9.15,9.13,9.31,8.07,17.39,13.67,9.24,14.58,9.1,8.28,9.52,7.75,9.0,9.44,18.57,9.6,10.04,9.79,9.57,8.03,16.19,8.22,8.67,8.69,10.64,8.02,202104
10.14,9.87,8.45,18.48,10.21,19.54,10.44,10.4,9.65,8.02,10.24,10.02,7.92,10.29,8.66,8.24,13.76,11.26,19.02,12.53,10.34,9.49,8.89,9.38,8.72,7.89,17.12,13.51,9.49,15.07,9.5,8.27,9.45,6.34,9.05,9.58,19.14,10.16,9.94,9.48,10.56,8.03,16.05,9.2,8.79,9.0,10.71,8.32,202103
10.54,10.02,12.07,18.71,10.46,19.66,10.57,10.81,10.31,7.96,9.91,10.35,8.96,10.31,8.99,8.04,14.07,11.28,19.08,12.87,10.53,9.82,8.51,9.26,9.31,8.11,17.5,13.58,9.39,15.41,9.48,8.35,9.4,15.35,9.11,9.86,20.07,10.11,11.41,9.46,13.41,7.99,16.08,9.14,8.81,8.84,11.11,9.11,202102
9.94,9.67,7.87,17.92,10.05,18.66,10.09,10.48,9.46,8.13,9.52,9.78,8.04,9.76,8.56,7.8,13.89,11.24,18.61,12.62,10.09,9.22,8.33,9.14,8.37,7.92,16.89,13.99,9.06,14.73,8.88,7.95,9.21,7.12,9.06,9.72,19.76,9.48,9.65,9.35,8.28,8.0,15.83,8.92,8.61,8.73,10.7,8.19,202101
9.11,9.82,8.04,17.26,10.1,17.98,10.26,10.29,9.59,8.11,9.6,10.07,7.86,9.91,8.54,7.8,13.34,11.22,17.96,12.51,10.11,9.27,8.44,9.19,8.27,7.62,16.64,13.28,8.91,14.55,9.49,7.84,9.37,7.04,8.96,9.7,18.92,9.89,9.85,9.32,8.03,7.77,16.31,9.01,8.68,8.85,10.68,8.06,202012
9.78,9.44,8.13,18.38,10.31,18.22,10.57,10.38,9.57,7.93,9.88,9.91,7.87,10.19,8.67,7.81,13.09,11.12,17.69,12.0,10.05,9.32,8.7,9.27,8.46,7.61,16.75,12.95,9.2,14.88,8.7,8.16,9.4,7.48,8.97,9.59,19.21,9.24,10.21,9.44,8.07,7.92,16.31,8.71,8.67,8.97,10.69,8.2,202011
9.83,10.17,8.29,18.82,10.25,18.57,10.57,10.22,9.65,7.92,9.94,9.87,7.95,10.36,8.57,8.17,13.14,11.25,17.68,12.09,10.59,9.2,8.97,9.46,8.82,7.84,16.59,13.1,9.31,15.4,9.4,8.1,9.46,7.62,8.83,9.37,18.41,9.82,10.23,9.31,8.17,8.02,16.42,8.64,8.55,8.87,10.71,8.4,202010
10.36,10.82,8.71,19.77,10.84,18.83,10.34,10.43,10.15,7.86,9.59,10.11,9.48,10.02,8.7,7.81,13.52,10.97,18.09,12.26,11.26,8.95,9.69,9.4,9.46,9.44,16.42,13.97,10.05,15.97,9.92,8.9,9.5,8.26,8.81,9.51,18.5,10.25,10.34,9.49,8.68,8.66,16.41,8.98,8.53,8.96,10.85,8.55,202009
10.33,11.14,8.55,19.95,10.81,19.67,9.84,10.09,10.83,8.3,9.75,9.89,10.69,10.69,8.7,7.58,13.59,10.8,18.49,12.29,11.17,8.99,11.05,9.51,9.4,9.01,16.44,14.46,10.25,15.85,9.73,8.8,9.55,8.22,8.77,9.66,19.29,10.24,10.62,9.51,8.75,9.05,16.1,9.37,8.25,8.43,11.12,8.55,202008
10.41,11.36,8.93,19.12,10.79,19.27,9.84,10.22,10.69,8.51,9.7,10.1,10.98,10.72,8.66,7.66,13.62,10.71,18.32,12.7,11.32,9.1,11.2,9.2,9.73,8.83,16.01,14.66,10.41,15.99,9.58,9.05,9.67,8.19,8.88,9.8,17.45,10.26,10.41,9.7,8.62,8.89,16.26,9.41,8.33,8.8,11.36,8.49,202007
10.31,11.08,8.77,18.64,10.96,18.58,10.47,10.06,10.52,8.34,9.92,10.23,9.36,10.87,8.62,7.51,13.73,10.99,17.45,13.0,11.73,9.11,11.26,8.93,9.46,8.72,16.45,14.21,9.8,15.8,9.52,9.09,9.54,8.07,8.74,9.64,16.82,10.16,10.28,9.7,8.58,8.78,16.62,9.33,8.22,8.8,11.31,8.52,202006
9.73,11.05,8.17,16.73,9.96,19.76,10.65,8.46,9.83,7.65,10.15,9.83,9.14,10.98,8.66,7.46,13.61,11.3,17.79,12.43,10.67,9.21,10.35,8.86,9.19,8.09,16.71,13.47,8.81,14.5,9.18,8.82,9.63,7.33,8.88,9.87,17.85,9.82,9.98,9.4,8.33,8.39,16.45,9.08,8.13,8.88,10.85,8.51,202005
9.62,10.13,8.2,16.08,9.86,20.54,10.25,10.22,9.52,7.58,9.93,10.02,8.68,10.37,8.49,6.91,13.72,11.28,18.53,12.33,10.26,9.01,8.97,8.69,8.94,7.86,16.72,13.36,8.63,13.61,9.68,8.71,9.66,7.39,8.72,9.87,19.01,9.86,9.94,9.46,8.23,7.93,16.43,9.33,8.08,8.7,10.67,8.28,202004
9.34,9.49,8.01,16.22,9.79,19.44,10.37,10.05,9.4,7.68,9.66,9.59,8.5,10.26,8.39,7.15,13.52,11.37,18.45,11.65,9.9,9.11,8.8,8.97,9.01,7.71,16.53,13.22,8.52,13.63,9.32,8.71,9.04,7.08,8.81,9.6,18.43,9.59,9.67,9.58,8.17,7.81,16.34,9.28,8.27,8.57,10.41,8.11,202003
