AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV
5.54,5.69,6.11,7.43,5.9,4.13,7.37,5.93,5.93,6.38,5.98,6.02,5.59,6.9,5.86,4.98
5.31,5.6,5.38,7.48,6.2,4.25,7.92,6.07,5.84,6.56,5.83,5.76,5.51,6.91,6.03,4.99
5.87,5.73,6.31,7.51,6.1,4.03,8.47,5.92,5.93,6.44,6.27,5.65,5.48,7.02,6.06,5.15
5.72,6.04,6.31,7.87,6.19,4.01,7.75,6.19,6.15,6.38,5.97,5.59,5.51,7.04,6.05,5.0
5.6,6.16,6.74,7.87,6.23,4.22,7.29,6.71,6.44,6.36,6.39,5.45,5.55,7.34,6.17,5.04
5.56,6.53,7.21,7.26,6.82,4.66,7.73,7.47,6.61,6.54,6.99,5.77,5.61,7.9,6.47,5.12
5.81,6.47,7.64,7.84,7.0,4.75,6.91,7.58,6.72,6.82,7.1,5.97,5.69,7.98,6.41,5.15
5.78,6.58,7.73,7.9,7.1,4.71,6.45,7.71,6.82,6.82,7.1,6.06,5.65,8.0,6.57,5.14
5.56,6.44,7.72,7.93,6.51,4.37,6.48,7.32,6.68,7.09,5.58,5.6,5.61,7.65,6.22,5.01
5.49,5.67,7.05,7.73,6.27,3.97,6.55,6.16,5.86,6.45,5.67,6.08,5.52,7.38,6.1,5.07
5.39,5.54,6.72,7.64,5.94,3.9,5.45,5.88,5.82,6.47,4.43,5.55,5.58,6.92,6.11,5.1
5.53,5.67,6.62,7.55,5.94,3.94,5.21,5.86,5.88,6.5,4.93,5.56,5.71,6.93,6.07,5.13
5.48,5.48,6.56,7.6,5.94,4.03,5.4,5.53,5.83,6.68,4.7,5.78,5.68,6.73,6.1,5.05
5.53,5.41,6.52,7.67,6.04,4.05,5.39,5.61,5.89,6.64,4.94,5.74,5.68,7.06,6.13,5.13
5.65,5.49,6.47,7.66,6.02,3.94,5.3,5.55,5.94,6.7,4.65,5.72,5.69,6.64,6.06,5.16
5.53,5.43,6.75,7.5,6.05,3.92,5.34,5.72,6.16,6.55,4.99,5.65,5.66,6.53,6.1,5.07
5.63,5.5,6.6,7.23,6.14,4.13,5.87,6.38,6.37,6.47,5.29,5.71,5.67,6.32,6.26,5.06
5.85,5.86,7.56,6.78,6.47,4.7,6.52,7.21,6.56,6.68,6.21,5.93,5.84,6.91,6.39,5.15
6.06,6.08,7.51,7.22,6.71,4.77,6.57,7.17,6.68,7.0,6.37,6.11,5.53,6.98,6.61,5.15
6.05,6.08,7.5,7.29,6.72,4.82,6.4,7.12,6.51,6.97,6.17,6.09,5.86,6.73,6.54,5.09
5.94,6.09,7.41,7.27,6.57,4.38,6.3,6.83,6.45,6.94,6.7,6.0,5.77,6.45,6.22,5.06
5.72,5.14,6.6,7.3,6.12,4.26,6.13,5.82,6.15,6.85,5.64,5.76,5.8,6.29,6.03,5.05
5.36,5.18,6.54,7.29,6.04,4.06,6.02,5.89,6.07,6.6,5.14,5.6,5.72,6.19,6.11,5.19
5.47,5.14,6.46,7.15,5.66,4.03,6.07,5.07,5.95,6.56,5.24,5.67,5.72,6.54,6.0,5.16
5.9,5.14,6.56,7.38,6.21,4.19,5.86,7.37,6.15,6.77,5.32,5.98,5.71,6.62,6.08,5.02
5.61,5.24,6.65,7.33,6.04,4.26,5.89,5.82,6.2,6.7,5.82,5.98,5.84,6.94,6.1,5.16
