AZ,CO,CA,ID,MT,NM,NV,OR,UT,WA,WY
6.35,5.55,8.71,4.43,5.35,6.91,6.44,5.03,4.67,4.79,4.31
6.48,5.79,9.63,4.5,7.16,6.99,6.42,5.02,5.26,5.11,4.36
6.57,5.66,9.89,4.39,6.64,6.91,7.46,5.15,4.92,5.37,4.34
6.87,5.91,9.88,4.38,7.15,7.06,7.61,5.27,5.39,5.4,4.26
7.86,6.2,9.82,5.12,7.34,7.35,7.75,5.15,5.42,5.22,4.4
8.01,6.48,11.34,4.92,6.77,7.32,8.37,5.28,5.43,5.11,4.37
7.78,5.99,13.47,5.05,6.35,7.22,8.57,5.21,5.48,5.35,4.62
7.87,6.14,13.12,5.17,6.37,7.35,8.59,5.25,5.47,5.47,4.58
7.77,6.66,13.13,4.86,6.22,7.36,8.62,5.22,5.11,5.51,4.63
7.71,6.32,12.74,5.13,6.13,7.4,8.14,5.74,5.32,5.6,4.6
6.37,5.73,11.16,5.31,6.22,6.86,7.23,6.47,5.12,5.84,4.55
6.49,5.71,11.07,5.73,6.39,7.01,7.99,6.6,4.95,5.71,4.48
6.39,5.7,11.32,5.6,5.87,6.72,7.92,6.52,5.4,5.94,4.5
6.49,5.68,11.17,5.68,5.86,6.06,8.03,6.4,5.19,5.98,4.67
6.46,5.69,11.35,5.53,5.6,6.26,8.06,6.47,5.09,6.0,4.57
6.65,5.77,10.99,5.36,5.4,6.27,7.66,6.45,5.35,5.97,4.61
7.6,6.2,12.11,5.43,5.64,7.12,8.04,6.2,5.41,5.82,4.65
7.95,6.27,12.75,6.05,5.48,6.99,8.73,6.15,5.47,5.84,4.64
7.62,6.06,13.77,5.48,5.57,6.95,9.53,6.12,5.69,5.75,4.75
7.84,6.15,13.27,5.72,5.92,7.03,8.15,6.1,5.61,5.69,4.73
7.71,6.26,12.24,5.35,5.8,6.82,9.43,6.27,5.47,5.52,4.8
7.72,6.33,12.68,5.45,5.77,6.92,8.52,6.19,5.5,5.92,4.81
6.51,6.05,12.09,5.58,5.69,6.69,8.17,6.53,5.35,5.97,4.74
6.56,5.83,11.94,5.65,5.79,6.64,8.08,6.33,5.08,6.02,4.7
6.46,6.24,11.52,5.85,5.84,6.71,8.27,6.44,5.2,6.0,4.5
6.71,6.42,11.65,5.84,5.91,6.7,8.22,6.17,5.09,5.99,4.86
6.64,6.39,10.62,5.87,5.96,6.77,8.17,6.14,5.24,5.82,4.67
6.79,6.51,11.73,5.59,5.93,6.75,8.18,6.2,5.53,5.91,4.72
7.78,6.94,12.15,5.31,6.07,6.93,7.92,6.12,5.33,5.84,4.92
7.99,7.01,13.0,4.94,6.08,7.23,8.46,6.1,5.6,5.78,5.06
7.78,6.95,13.84,4.97,6.37,7.27,8.8,6.03,5.66,5.82,5.05
7.88,6.9,12.73,4.93,6.66,7.46,8.68,6.08,5.62,5.83,4.87
7.79,6.91,10.24,5.06,6.6,7.27,8.63,6.1,5.65,5.88,4.92
7.79,7.12,10.72,4.85,6.13,7.15,8.13,6.14,5.61,5.72,4.97
6.62,7.03,11.65,4.86,6.05,6.76,7.52,6.37,4.93,5.84,4.89
6.66,6.67,11.26,4.9,6.02,6.78,7.93,6.27,5.32,5.89,3.78
6.63,6.62,11.08,4.89,6.11,6.8,7.69,6.44,5.18,5.96,4.81
6.82,6.73,11.41,4.99,6.11,6.91,7.92,6.41,5.19,6.03,4.81
6.78,6.74,10.98,4.95,6.22,6.83,7.82,6.44,5.31,6.07,4.77
6.9,6.88,10.23,4.8,6.27,6.81,8.1,6.16,5.48,5.72,4.78
7.84,6.94,10.86,4.86,6.33,7.21,8.26,6.11,5.82,5.55,5.16
7.96,6.83,11.91,5.13,6.52,7.31,8.85,5.92,6.25,5.6,5.0
7.91,7.09,12.39,5.05,6.64,7.42,9.35,6.03,6.16,5.6,5.16
7.94,7.11,12.16,5.11,6.67,7.45,9.22,6.01,6.11,5.71,4.95
7.94,7.12,11.97,5.15,6.64,7.35,9.06,6.09,6.06,5.69,5.14
7.63,7.29,11.48,4.79,6.49,7.31,8.74,6.14,5.91,5.69,5.26
7.05,6.95,11.26,4.97,6.43,6.82,8.38,6.35,5.35,5.86,5.01
7.08,7.03,10.08,4.94,6.43,6.8,8.42,6.29,5.27,5.91,4.96
6.97,7.28,10.85,4.97,6.29,6.94,8.59,6.47,5.34,5.99,4.86
7.08,7.2,11.21,4.96,6.45,7.17,8.64,6.36,5.35,5.94,5.45
7.05,7.24,10.44,5.0,6.4,6.92,8.46,6.41,5.69,5.8,5.17
7.38,7.3,10.91,4.84,6.54,7.09,8.48,6.32,5.8,5.82,5.05
8.2,7.44,11.19,4.92,6.74,7.19,8.43,6.23,5.96,5.73,5.2
8.32,7.77,12.5,5.33,6.67,7.61,8.99,6.2,6.46,5.65,5.14
8.32,7.8,13.16,5.32,6.83,7.71,9.47,6.14,6.5,5.71,5.31
8.3,7.59,12.7,5.3,6.9,7.85,9.39,6.19,6.42,5.84,5.17
8.32,7.67,12.29,5.15,6.85,7.75,9.33,6.18,6.42,5.78,5.21
8.12,7.53,11.27,5.18,6.89,7.94,9.22,6.42,6.1,5.94,5.25
7.11,8.35,11.14,5.12,7.05,7.8,8.94,6.46,5.39,5.9,5.04
7.09,8.38,11.15,5.21,7.01,7.9,9.7,6.65,5.44,6.16,5.06
7.16,7.67,11.25,5.15,6.82,7.85,9.27,6.22,5.61,5.17,4.97
7.2,7.96,11.72,5.24,7.05,7.6,9.0,6.55,5.56,6.17,5.17
7.22,8.21,11.69,5.25,6.8,7.22,9.07,6.6,5.72,6.22,5.29
7.61,7.84,12.04,5.21,6.45,7.18,8.86,6.48,5.78,6.07,5.26
8.69,7.32,12.31,5.02,6.46,7.01,9.33,6.46,6.13,5.99,5.17
8.89,7.64,13.9,4.9,6.58,7.33,9.82,6.4,6.48,6.02,5.33
8.91,7.74,15.17,4.79,6.76,7.36,10.43,6.48,6.59,6.07,5.3
8.86,7.6,13.96,4.75,6.99,7.65,10.24,6.48,6.38,6.18,5.33
8.83,7.57,13.85,4.7,7.11,7.49,10.16,6.55,6.29,6.22,5.37
8.66,7.46,12.16,4.67,7.4,7.57,9.73,6.64,6.04,6.5,5.52
7.66,7.18,12.38,4.77,7.32,6.9,9.06,6.78,5.47,6.61,5.15
7.69,7.17,12.14,4.77,7.23,7.19,9.47,6.75,5.52,6.74,5.38
7.52,7.76,12.42,4.75,6.91,6.98,9.48,6.86,5.86,6.43,5.19
7.59,7.71,11.98,4.74,6.81,7.37,9.48,6.88,6.06,6.3,5.28
7.72,7.86,11.89,4.91,7.13,7.04,9.28,6.84,6.03,6.3,5.4
7.88,7.87,11.74,4.65,6.93,7.19,9.26,6.79,6.05,6.21,5.14
8.8,7.88,12.24,4.64,7.11,7.28,9.31,6.71,6.42,6.11,5.37
8.84,8.22,13.66,5.16,7.21,7.55,10.09,6.88,6.96,6.16,5.3
9.37,7.58,14.08,5.28,7.32,7.61,11.08,7.13,7.18,6.47,5.34
9.3,7.45,13.99,5.49,7.3,7.77,10.69,7.06,6.91,6.21,5.29
9.12,7.6,13.85,5.37,7.25,7.52,10.62,7.19,6.91,6.37,5.3
8.93,7.91,12.61,5.18,7.37,7.65,10.06,7.25,6.53,6.51,5.47
8.03,7.78,12.29,5.25,6.96,7.55,9.38,7.33,5.83,6.59,5.18
7.92,7.6,11.97,5.2,7.27,7.57,9.87,7.27,5.8,6.64,5.29
8.04,7.56,11.55,5.31,7.47,7.73,9.84,7.42,5.98,6.64,5.29
8.16,7.77,11.55,5.27,7.51,7.76,9.79,7.35,5.99,6.66,5.46
8.26,7.82,11.46,5.43,7.66,7.48,9.82,7.32,5.96,6.65,5.51
8.61,8.63,11.23,5.37,7.7,7.73,9.66,7.36,6.23,6.55,5.52
9.44,8.74,12.01,5.27,7.86,8.19,9.68,7.13,6.45,6.16,5.84
9.89,8.94,13.67,6.03,7.64,9.03,10.21,7.08,7.04,6.32,5.81
10.01,9.58,13.62,5.9,7.94,9.26,10.81,7.04,7.13,6.47,5.87
9.99,9.63,14.07,5.95,8.1,9.53,9.87,7.1,7.05,6.49,5.85
9.5,9.41,13.32,5.88,8.15,9.01,9.88,7.18,6.99,6.48,5.72
9.19,8.35,12.47,5.89,7.69,8.44,9.79,7.3,6.7,6.54,5.98
8.36,8.3,12.48,5.94,7.44,7.81,9.02,7.34,6.09,6.74,5.58
8.48,8.01,11.64,5.97,7.51,7.65,9.63,7.26,5.97,6.77,5.68
8.48,7.52,12.33,5.99,7.53,7.87,9.89,7.36,6.19,6.72,5.78
8.67,7.75,12.26,6.14,7.55,8.35,9.66,7.51,6.22,6.75,5.9
