CT Price,ME Price,MA Price,MO Price,NE Price,NH Price,NJ Price,NY Price,PA Price,RI Price,VT Price
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
