,CT,ME,MA,MO,NE,NH,NJ,NY,PA,RI,VT
202111,17545.786,2508.68448,8079.994650000001,7515.42,2205.5519999999997,1688.624,20136.594,37561.63448,72123.48233,4935.978,22.02
202110,13067.608,2798.95045,9912.701,7499.057000000001,2092.708,4155.23,23085.203999999998,39137.903,69671.41115999999,6138.76,1.927
202109,14991.609,1945.802,9526.805,8559.135,2008.81,3950.528,20880.740999999998,38823.39873,79116.838,5559.247,1.506
202108,18409.0,2806.58,15491.809,13081.465,3276.133,4517.670999999999,28530.587,59502.789549999994,88140.14,6818.969,11.622
202107,16871.217999999997,2184.557,13319.71865,11855.249,3209.391,4112.561000000001,26944.897,54099.44508,88277.15378000001,6454.43,19.175
202106,16535.068,2082.795,13807.437,11316.677,2863.747,3643.541,22748.936,49057.714230000005,79793.63454,5530.278,7.667
202105,12475.954,1890.694,7025.086,5849.648999999999,1388.62,2291.339,15555.443,34093.9139,68526.60493,3747.678,1.865
202104,11228.805999999999,1595.477,6381.108,5349.733,1380.29,1596.971,14709.885,25783.237940000003,58703.68359,2410.763,5.096
202103,14223.026,1467.60341,8596.491,5063.415,625.314,839.8280000000001,13681.055,30820.82169,68074.96706,4466.372,14.766
202102,12923.041,2273.167,12660.479,8182.271000000001,2119.647,2430.003,15100.269,33154.52915,70034.79800000001,3846.647,5.008
202101,13847.632,1861.337,14170.754,8517.087,1724.959,2129.1409999999996,13499.137999999999,38105.53896,77046.66734,4471.251,11.548
202012,14524.108,1893.62444,10864.48065,8480.375,1664.843,871.533,13518.843,36130.82631,75158.69727,4035.937,5.11
202011,12979.956,623.39234,7841.243649999999,6509.5689999999995,1343.426,1687.64,18094.402,33924.98133,54690.17385000001,5895.635,12.137
202010,12007.348,1191.3349999999998,11344.10365,8181.197,2068.645,2489.1259999999997,20202.318000000003,32945.99022,70900.17259,4653.411,2.457
202009,14170.744,1413.098,9520.44465,8544.114000000001,1658.108,3095.696,18401.899,41975.65576,81332.8323,6377.812,8.71
202008,16776.753,2303.31772,16054.224,11176.536,2266.442,3205.544,28903.476000000002,56197.30645,95738.72314,6691.089,16.084
202007,19017.163,3651.96984,20163.672,13009.519,3175.391,4550.278,33194.562,64724.11125,100988.41992999999,6913.62,12.872
202006,15753.046,2733.5339999999997,10057.561,9185.786,2384.5029999999997,2920.184,21911.778,42244.7659,75868.34733,6520.064,15.629000000000001
202005,11323.446,1604.9089999999999,4062.121,5710.796,1408.529,1187.575,13197.192000000001,25697.34332,55286.595310000004,4376.234,9.921
202004,12749.329,1278.5759999999998,5384.245,5975.353999999999,1244.853,1773.465,15240.928,23027.04576,51134.22598,4510.346,0.9259999999999999
202003,12540.311,851.4902500000001,4966.8769999999995,7575.843,1524.762,1337.861,16939.525,30315.240110000002,65451.74173,4224.926,5.534
202002,13678.632,1115.86753,10338.637,8215.337,1864.212,1523.628,16794.865,31034.21366,67491.69373000001,3884.4680000000003,14.477
202001,14664.949,1480.18868,12152.263649999999,9696.684,2531.915,2061.8720000000003,19303.609,33600.513399999996,73765.12348000001,3474.493,8.279
201912,15781.91,1389.25001,12154.43965,7280.831,2093.9539999999997,2019.07,24192.135,33350.80233,64304.96029,3027.519,10.99
201911,12952.178,1148.282,8625.33265,5475.704,1470.4279999999999,1724.445,24299.557999999997,30066.19166,54231.285390000005,4418.829,4.679
201910,10456.545,1960.22794,9064.21165,7935.3279999999995,1321.952,3484.982,25304.247,27902.37889,63149.78665,5931.6140000000005,5.609
201909,12691.435,1629.396,8879.78665,10230.115,2303.4970000000003,2317.8329999999996,26005.107,33933.34005,65797.60065000001,4795.179999999999,0.488
201908,16190.263,1730.1720799999998,14531.512,11529.294,3474.4210000000003,3912.275,32739.965,48471.975660000004,76431.41579999999,7442.815,8.737
201907,18424.968,2754.8669999999997,19839.312,11509.418,3228.1800000000003,4322.21,35327.165,57605.44793,79651.4091,7105.635,8.144
201906,12662.893,1286.336,9042.202,9607.462,2571.318,2559.078,26024.821,33165.315239999996,60743.96873,4436.035,3.462
201905,11459.354000000001,1079.868,7077.752,9693.911,2459.0660000000003,312.553,21122.524,24326.78732,50918.39939,4304.867,0.552
201904,11875.026,611.187,8185.84565,6868.65,1720.4920000000002,1927.7730000000001,23608.569,25201.69744,38180.0694,4087.774,13.175
201903,11116.102,1518.3490000000002,10594.511,8730.712,1848.495,1617.8999999999999,20733.353,29088.62517,54291.87603000001,3780.767,11.948
201902,11102.099,1672.57603,10840.10165,7268.518,1912.866,673.095,21660.474,30054.12642,53547.13871,2362.924,11.917
201901,12401.492,1991.13535,12546.973999999998,8183.905999999999,1663.492,1357.266,22267.994000000002,33808.99116,57769.58746,2921.159,19.252000000000002
201812,13931.833,1029.396,9992.006,6821.494000000001,1691.375,583.8779999999999,22177.058,32042.07144,48068.74774,3872.649,12.377
201811,13418.203,1420.8709999999999,9093.33065,8292.622,2063.404,1454.1870000000001,20422.585000000003,31771.51078,44351.497950000004,4325.4220000000005,6.761
201810,13307.151,2957.689,11749.024000000001,8842.04,2440.059,3243.5629999999996,24355.985,37044.0031,51328.523270000005,6771.983,8.403
201809,13670.481000000002,1968.279,14076.233,8221.54387,1698.4060000000002,2302.1710000000003,30162.591,43954.81684,57125.88282,7267.83,3.455
201808,16386.587,3555.62749,21733.837,10425.09839,2471.842,4223.840999999999,35535.281,59516.75037,65100.71467,8131.444,2.83
201807,15453.883,2941.496,19670.701999999997,11446.584579999999,3067.848,4256.531,35961.273,56402.4596,61717.65879,7141.004000000001,15.881
201806,12608.179999999998,1964.0629999999999,10489.864,10343.34173,2433.2709999999997,3083.679,24072.642,37883.84286,50585.2509,5354.630999999999,3.806
201805,9565.069,1778.47,8490.517,9900.85409,2419.909,894.156,21947.389,32464.66545,40320.86623,4413.647,1.163
201804,9809.227,1280.823,8775.21165,5150.18337,1385.7710000000002,704.2180000000001,22296.557,28380.25258,40700.156449999995,3838.619,8.908999999999999
201803,11558.267,1645.7721800000002,13352.05565,7633.78537,1704.0710000000001,308.96000000000004,23526.185,28622.585020000002,45630.51563,3329.252,12.174999999999999
201802,9889.426,738.6687999999999,12073.282000000001,7521.98495,1486.633,312.93800000000005,19616.12,26012.50505,41279.610969999994,3100.805,7.151
201801,10579.076000000001,1163.2123,13229.850999999999,9381.8138,1635.383,1303.002,15802.975,32553.01226,43107.30683,2877.2299999999996,23.119
201712,11791.58,758.16216,13058.952000000001,8478.30732,1557.7800000000002,1645.505,21685.165,32985.55422,46911.29476,3771.4809999999998,33.575
201711,11551.641,867.39,11132.737650000001,5923.5675,1370.6930000000002,1890.561,17677.133,27115.99373,43096.134249999996,4867.6849999999995,5.677
201710,10612.286,1682.761,15147.20865,6223.705819999999,1345.14,1715.1109999999999,23160.947,30599.79856,56340.63728,6063.827,2.4850000000000003
201709,9308.725,1239.886,16336.503649999999,7973.46752,1678.788,3370.2470000000003,25533.986,38152.422080000004,55953.303199999995,5747.703,11.614999999999998
201708,11844.671,2232.585,20095.967,8637.49954,2405.0429999999997,3511.259,28782.365999999998,45323.729439999996,59372.924569999996,5661.18,3.145
201707,12197.291,2390.03372,19762.237,11461.88961,3038.441,2974.379,32679.16,49004.63912,62627.17557,6052.366,1.837
201706,8973.155999999999,2087.721,16875.954999999998,8927.634399999999,1760.337,2566.181,27927.895,39141.04321,48596.54597,4113.734,4.779
201705,7395.835,1919.552,14125.027,6939.21796,1123.271,1831.185,21953.065,28444.45998,37553.271029999996,3652.846,6.366
201704,8130.43,1939.4379999999999,15518.139000000001,5370.86348,1073.4360000000001,3626.316,19761.350000000002,25767.12454,35351.61147,5807.994,1.366
201703,8994.783,1712.1167500000001,12743.84,6903.680609999999,1325.136,1536.6390000000001,26400.045000000002,32553.78397,42928.349200000004,2953.814,15.586
201702,9448.55,1940.09908,11100.23065,5971.776,1273.713,973.385,17944.259000000002,27559.52159,41898.08212,2439.546,11.511
201701,11721.577,1955.3757500000002,12821.480650000001,7112.90135,1585.3,1183.821,21297.996,32083.81146,45297.07763,2797.963,10.355
201612,10509.317,1161.463,11582.94792,7029.82673,1521.3639999999998,2328.874,21561.944,35185.35924,43251.68261,2914.8089999999997,8.791
201611,10769.68,1570.713,8746.651,4860.70763,1788.8290000000002,3147.401,19857.054,29490.884479999997,42962.72776,3031.118,10.05
201610,10601.565,2623.105,10112.466,5763.00152,1670.701,2409.063,28188.741,33524.6015,42781.08655,3093.582,8.374
201609,11024.394,2552.059,15318.032000000001,8051.791510000001,1456.558,3994.896,30565.397999999997,46745.73101,51314.86085,4623.385,10.217
201608,13564.751,4493.443,22883.417,10748.98525,2370.751,4713.289,42028.601,66866.46845,62250.19916,5878.715,12.909
201607,12736.188,4184.81,22953.632999999998,11328.08019,2352.039,4293.889,41723.965000000004,61476.69198,61846.39047,6115.8460000000005,10.831000000000001
201606,10119.154,2479.8019999999997,18332.286,11007.32101,2506.5119999999997,2922.277,32047.498,45194.379799999995,50716.02306,4876.101,7.1979999999999995
201605,11314.007000000001,2402.324,16199.59,6938.2317299999995,1166.905,3073.58,25318.053,40360.89341,38884.30512999999,5127.408,8.699
201604,12372.094,1893.1,12416.628,7900.864,1106.366,3701.389,25159.724000000002,34724.27533,36155.0015,3020.1859999999997,6.077
201603,9788.544,1105.9806899999999,11350.846000000001,5313.83027,1041.639,770.086,25039.988,33272.2982,39812.86652,4618.75,5.758
201602,10652.585,2642.38318,10687.403999999999,5981.4933,1186.474,1200.043,21021.446,31571.41332,37657.59908,2619.31,7.029999999999999
201601,11558.284,3271.40607,10228.596000000001,6334.39962,1496.1090000000002,2281.275,23612.445,35694.21011,41162.02216,2535.221,6.489
201512,12304.334,2331.82329,10121.22119,5874.5072199999995,1383.7640000000001,2754.567,22762.695,31952.717220000002,39340.55218,3172.076,1.3159999999999998
201511,10810.667,2713.69243,9518.453880000001,5175.04967,1197.899,3863.822,24462.648,33763.84063,39786.41788,4387.219,2.193
201510,11300.271,3637.7996,15162.73688,4853.41311,1329.4099999999999,3436.024,24377.743,41202.55814,41147.48848,3982.068,0.193
201509,11788.656,2425.2371399999997,18052.59315,7107.1447100000005,1751.876,3991.9120000000003,30298.738,50895.00233,43670.82109,3647.045,2.8339999999999996
201508,13564.418,2665.1045799999997,25016.34284,9675.30626,2334.633,4702.536,30189.510000000002,56194.12176,51708.328420000005,7172.291,0.343
201507,12768.396,1780.77154,24483.98715,10587.00622,2751.7569999999996,4289.424,31695.766000000003,55986.04603,51892.918509999996,7019.236,1.221
201506,10334.545,1106.56142,16115.458190000001,7942.32869,2010.423,3673.9030000000002,24966.734,41272.36425,41515.436570000005,6245.669,1.7530000000000001
201505,9644.702,1372.04949,16203.10923,4287.06278,1410.721,3924.393,25297.555,40371.77054,35023.44606,5847.587,10.113
201504,9868.083,2631.6929999999998,11713.98458,4939.401749999999,1380.8410000000001,3363.788,18731.988,29758.061100000003,34776.98276,2588.572,0.808
