,AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV
202111,37420.06,17751.043999999998,3210.924,96095.198,40034.695,12234.123,50260.66,10953.074,27410.091,39077.359,15796.907000000001,16087.161,10267.468,152338.592,32057.585,4361.083
202110,35581.373999999996,15649.890000000001,1930.737,123430.578,38836.888,11303.932,53395.668000000005,11781.001999999999,27523.59,31693.796000000002,19782.477,17585.903000000002,8718.108,180011.775,30225.947,4268.897
202109,37463.001,15001.069,2620.33,130698.913,37249.549,10366.587,45179.598999999995,10158.719,29734.684,32483.769,25370.082000000002,17552.518,13110.162,205081.345,32825.319,3469.0969999999998
202108,45228.632,17464.609,5193.691,144081.07,46430.676999999996,14856.809000000001,59630.581,12225.675,38261.495,41095.291,35184.299,19689.184,16958.295,243177.231,43911.439,5477.133
202107,42921.536,16520.439,4540.947999999999,138504.711,45668.967000000004,14427.458999999999,61759.782999999996,11552.549,38569.466,43027.948000000004,34433.92,18549.225,16815.531,239470.667,42995.423,5503.864
202106,40894.361,16453.821,3982.2419999999997,124647.466,42335.216,13237.013,56570.117,8583.039,35494.271,30261.170000000002,29395.782,16661.243,14854.678,220457.153,39781.054,5609.287
202105,32599.368,9521.614,2539.912,118851.818,34805.318,10592.624000000002,48586.967000000004,7187.832,29865.677000000003,23014.684,18576.572,14702.627999999999,9846.288999999999,166823.12,28336.368000000002,4648.862
202104,27549.848,13675.108,1902.504,100512.266,33934.558000000005,8278.261,45356.986,9724.171,28940.904000000002,18673.374,15656.936,14791.433,7983.002,150649.273,32138.767,3726.932
202103,29511.887000000002,12609.579,1521.882,96216.972,29140.274999999998,10394.601999999999,45871.265,8298.809,21868.333,24275.82,16043.092999999999,10424.070000000002,10149.331,133346.101,35750.952,3267.7969999999996
202102,30903.134000000002,9087.694,1761.215,90683.162,30267.213,10939.085,44139.619,6993.785,29858.271,24560.45,22816.214,12068.225,12014.327000000001,156636.772,29162.06,3778.1040000000003
202101,37690.641,10645.934,1609.585,94996.522,37429.655,11679.206,47852.401000000005,6556.4439999999995,36912.496,31654.436,24090.653,14548.467,14852.132,165644.38499999998,35015.005,4012.5620000000004
202012,36951.998999999996,12120.722,2514.819,94532.054,39242.292,11828.388,53525.261,6288.967,31022.912,30802.279000000002,24394.471,14611.431,14126.984,156329.237,37374.486000000004,3816.822
202011,28091.409,7728.584,2825.692,102973.09499999999,35524.207,9614.581999999999,51768.912000000004,7931.66,26110.292999999998,22747.625,15677.869999999999,12891.938,10740.965999999999,145661.397,27791.494,3907.851
202010,34805.462,11448.579,2470.828,126070.109,34190.073000000004,10095.262999999999,55936.560000000005,10104.346,30593.815000000002,23161.149999999998,23923.895,13704.509,10364.348,182160.208,34568.342,4920.513
202009,40070.025,9583.637,3580.26,127733.822,36131.792,7444.333,51228.545999999995,8209.048,33335.161,25418.877,29294.968,16624.733,12428.715,203341.666,38974.791999999994,3399.561
202008,46371.331000000006,18683.966,6916.999000000001,142606.781,46092.518,13486.491,61245.162000000004,10528.185000000001,42871.496,32105.754,40627.102,19637.899,13460.265,257054.918,48485.701,5310.022
202007,51342.388,19879.430999999997,6887.787,141680.992,47550.851,17904.06,68393.887,13307.87,43953.0,34876.051,48733.586,21959.582000000002,17634.869,260263.87999999998,51788.915,6155.832
202006,43337.176999999996,15900.721,4747.407,131648.827,43827.068,13060.41,59652.094000000005,9310.022,37428.095,26894.958,34634.318,16147.14,13048.721,210138.877,41402.523,4832.465
202005,34078.519,10762.037,3251.069,113333.19799999999,38353.196,10915.756,54147.58,6649.414,36500.673,22426.215,27806.515,16760.23,9550.441,179925.771,39082.298,4545.451
202004,25062.697,9255.721000000001,3717.559,111150.738,29857.601,7962.63586,51619.375,8528.095,29381.300000000003,15887.258,20809.751,15596.145,9114.571,152921.609,37365.146,3100.884
202003,35571.169,12731.996,2626.2090000000003,114792.949,31905.934999999998,5912.43376,54028.787,9925.171,27463.351000000002,27471.609,26968.829,15914.92,11586.622000000001,167361.013,41430.901,3496.9719999999998
202002,34579.089,11636.435000000001,2679.597,100187.243,38687.869,9038.27076,51400.335,9993.531,32910.835,30629.05,28875.912,15520.814,13998.803,167573.978,39995.729,3169.665
202001,35027.041000000005,15215.661,3018.1409999999996,100783.311,38151.774999999994,11363.795,52463.674000000006,7365.357,32465.37,30691.090999999997,31157.476,15996.398,13689.652,176075.87,44692.856,2930.0240000000003
201912,32873.477,13056.905999999999,2188.5550000000003,95287.496,38947.437,11295.65786,46332.861999999994,7062.689,28861.607,25769.839,29815.504999999997,15508.349,12900.446,176717.39800000002,40542.507,2695.6580000000004
201911,34052.283,12541.0,2801.641,92029.85399999999,37299.47,11612.81448,45680.393000000004,7005.762000000001,27864.783,25368.922,22445.017,14121.281,14339.49,163374.254,29881.392,3672.0429999999997
201910,39598.792,17110.068,3245.666,127723.135,37321.224,13628.75376,53312.208999999995,9055.853,30177.506999999998,26746.218,26228.962,15036.537,9878.274,184935.23,27890.873,6364.619
