,AZ,CO,CA,ID,MT,NM,NV,OR,UT,WA,WY
202111,21805.084000000003,9907.349,61346.578480000004,3696.265,1136.8719999999998,5963.736999999999,13474.968,13395.905,7883.593,10086.65543,3072.051
202110,27952.697999999997,8665.788,67284.39227,3038.303,1271.153,5646.431,13807.543,12986.806,5392.994,11594.37393,3293.536
202109,35870.363,11632.616,72886.67513999999,3568.346,1258.308,7882.75,18934.626,13451.894,7560.044,12565.44935,3993.574
202108,42623.418999999994,14572.266,86469.63135,4211.652,1250.088,10251.916000000001,23020.230000000003,15457.15,9734.522,13668.616010000002,3783.883
202107,46582.929,15633.269,95772.47727,4116.852,1207.759,10184.239000000001,24287.925,14807.241,10773.17,13420.15843,4227.945
202106,37726.872,12945.076,70335.08662999999,3544.387,854.588,9687.216999999999,21115.553,10169.943,9532.185,9376.819000000001,3783.5150000000003
202105,32536.472,10403.552,50451.95835,2650.48,598.565,7933.135,13894.601,6354.838,7377.611,5054.70949,3167.433
202104,28852.503999999997,8965.349,49142.438930000004,1958.942,671.608,6347.3460000000005,14340.303000000002,12169.853,6632.832,9987.300239999999,3445.2250000000004
202103,23754.415,9015.284,52611.050690000004,3389.075,979.038,6522.971,14726.393,12602.106,6704.832,11741.56069,3265.763
202102,17218.883,10937.659,49269.30374,3427.46,956.376,6486.719999999999,13242.175000000001,11733.622000000001,6579.039,8722.149000000001,3092.87
202101,28349.608,11575.393,57298.485929999995,3751.732,976.702,7787.0109999999995,15810.677,12122.858,7558.4490000000005,9653.699,3355.4030000000002
202012,30583.84,11573.542,70149.87926,4590.1720000000005,1093.375,7597.255999999999,15967.029,13988.083,8130.296,11498.5378,3187.547
202011,28752.505999999998,10743.278999999999,64062.89108,4350.829000000001,770.3,7350.178,12769.623,12114.152,6103.165999999999,6932.49799,3364.6319999999996
202010,37311.884999999995,12356.164,82033.78346,2578.815,638.606,8753.657,17854.842999999997,13309.953000000001,7444.976000000001,10985.97841,3457.906
202009,39914.560000000005,13015.663999999999,80295.81533,4173.349999999999,700.185,10524.77,21162.378,14587.03,8781.712,13887.47197,3390.785
202008,45789.067,17445.546,94268.90044999999,4036.381,959.4069999999999,12473.866999999998,24675.887000000002,13664.786,10240.24,12452.88093,4674.099
202007,45397.313,16309.88,73346.51114,3268.561,791.251,12085.473,22326.865,10009.457,8922.251,7435.853249999999,4062.174
202006,36192.403,14034.641,52940.28798,954.327,477.707,8308.846,18068.881,3314.932,6698.701999999999,2720.29741,2828.335
202005,33366.25,10119.100999999999,39942.0109,800.644,490.596,7810.209,15069.99,2479.869,5371.705,3048.51676,3028.2690000000002
202004,25708.399999999998,12028.472,41129.14695,2126.822,812.9369999999999,7860.155000000001,13749.278,13050.522,4313.504,11779.947329999999,2907.227
202003,21590.991,13919.234,55519.21927,3740.962,955.409,8760.901,15544.204,16056.514,5380.947,13210.06624,3565.892
202002,26115.657,13271.668,50077.80697,3756.3360000000002,878.589,8249.521,14360.718,11804.444,7342.811,8411.43898,3439.147
202001,28142.881,11964.819,56378.07943,4595.155,1015.5,9129.060000000001,16125.057999999999,14919.558,7866.821,11344.50775,3521.001
201912,32051.707,12613.938999999998,69224.91923999999,4843.861,1328.1419999999998,9652.556999999999,16543.207,16150.864,8033.186,14647.52404,3820.516
201911,26094.917999999998,12474.547999999999,68466.31512,4185.514,1466.483,7855.73,15125.067000000001,12942.708,7185.044,10041.24171,3431.825
201910,34541.111000000004,10180.272,68951.22321,2601.728,1236.596,9359.863,15234.229000000001,13337.182,6257.666,10899.64575,3321.268
201909,37841.706000000006,11381.956,70633.58198,3929.153,1438.336,10650.923999999999,18649.801,15482.365,6814.935,14587.96617,3257.508
201908,44038.047,15552.027,80422.40565,4420.04,1596.01,13580.862,24038.345999999998,16793.623000000003,9154.715,16272.624240000001,3299.5150000000003
201907,42417.606,16444.352,68026.81677,3999.531,1357.109,12043.101,22322.353000000003,14941.753,9213.232,15037.82083,3245.102
201906,34303.429,11112.003,44451.311729999994,2246.613,899.4929999999999,9402.667,18382.364999999998,8889.418,7118.005999999999,7822.11366,2833.8720000000003
201905,24623.797000000002,10639.449,34615.88505,1049.686,637.226,8536.347,12965.880000000001,2893.61,6665.842,3208.12848,2895.366
201904,26707.214,9885.395999999999,37627.14431,1600.1570000000002,768.94,8200.319,12573.13,8638.949999999999,5125.8279999999995,6279.1496400000005,2769.46
201903,24176.863,11541.77,51104.560770000004,2569.464,1319.2169999999999,7534.5560000000005,13809.175,13980.304,8053.837,8022.676289999999,3365.272
201902,20903.668999999998,12236.626999999999,58134.321899999995,4186.886,1603.596,8111.768,13503.384,13079.241,7321.138,6357.68329,3524.4120000000003
201901,23229.007999999998,11793.916,62387.97708,4454.16,1600.7350000000001,8628.863,14878.276,14454.723999999998,7625.252,11994.08604,3613.485
201812,24400.102,11548.698,66197.10680000001,4077.595,1659.83,10480.692,13913.7,13582.427,8053.478,7211.01714,3826.0570000000007
201811,23025.721,11129.404,66499.60320000001,3651.782,1599.3249999999998,8496.48,14000.265,12996.903,7340.894,2283.68661,3653.576
201810,30522.818,11054.71,73441.3517,1631.0449999999998,1445.009,7575.28,15473.203,11836.743,7830.851000000001,6999.5461700000005,3710.593
201809,37174.903000000006,12377.965,66957.00297999999,3694.881,1298.212,9866.979,20783.026,14644.244,7826.585,12898.14634,3577.8559999999998
201808,40029.443,13755.09,87670.80275999999,3332.2760000000003,1310.024,11354.16,24521.657,16098.416,10048.642,14274.852289999999,3937.3650000000002
201807,38616.049,15653.569,95315.21339,3981.902,1015.43,11489.413999999999,25897.809,14891.476,10253.717999999999,13414.734530000002,3765.545
201806,28565.647,13234.137,53128.32482,1517.0339999999999,873.6119999999999,10665.675000000001,19733.512,5540.587,6103.478999999999,5008.02348,3176.7690000000002
201805,22007.862,11546.998,40631.51293,690.024,768.062,9528.087,14589.304,2480.231,5457.646000000001,2804.332,2877.134
201804,18496.800000000003,8652.752,43381.6345,1350.331,824.9169999999999,8309.923999999999,13475.345,6748.885,4637.076999999999,3981.2857999999997,3001.424
201803,13345.355,9589.237,56043.33303,2105.2239999999997,1209.723,6876.602,13931.709,11820.101,4733.905,6763.60165,3236.007
201802,13381.4,11228.987,52533.84371,1738.613,1156.153,6400.844,13344.963,8237.207,4928.085,4916.09634,3379.7219999999998
